Year,SRA Name,SRA Num,Region Num,Region Name,T0913_TOTPOP,T0913_MALE,T0913_FEMALE,T0913_WHITE,T0913_BLACK,T0913_ASIAN,T0913_INDIA,T0913_BANG,T0913_CAMB,T0913_CHINA,T0913_FILIP,T0913_HMONG,T0913_INDON,T0913_JAPAN,T0913_KOREA,T0913_LAOT,T0913_MALAY,T0913_PAKIS,T0913_SRI,T0913_TAIWA,T0913_THAI,T0913_VIET,T0913_OASIAN,T0913_HISP,T0913_MEX,T0913_PUERT,T0913_CUBA,T0913_DOMIN,T0913_CAMER,T0913_COSTA,T0913_GUAT,T0913_HOND,T0913_NICA,T0913_PANA,T0913_SALVA,T0913_OCAMER,T0913_SAMER,T0913_ARGEN,T0913_BOLIV,T0913_CHILE,T0913_COLO,T0913_ECUA,T0913_PARA,T0913_PERU,T0913_URAG,T0913_VENEZ,T0913_OSAMER,T0913_OHISP,T0913_AGE5,T0913_LANE,T0913_LANS,T0913_LANSW,T0913_LANSN,T0913_LANA,T0913_LANAW,T0913_LANAN,T0913_LANO,T0913_LANOW,T0913_LANON,T0913_AGE4,T0913_AGE14,T0913_AGE24,T0913_AGE44,T0913_AGE64,T0913_AGE65,T0913_AGE25,T0913_NHS,T0913_SHS,T0913_HSD,T0913_SC,T0913_AD,T0913_BA,T0913_MA,T0913_INCOM,T0913_ASSIT,T0913_HOUSK,T0913_PROF,T0913_ARM,T0913_MARR,T0913_FHH,T0913_OWN,T0913_HOUSE,T0913_MOVE,T0913_CIV,T0913_POVP,T0913_POV,T0913_FORB,T0913_INSUR,T0913_NINSUR,T0913_DISAB,T0913_VDISAB,T0913_HDISAB,T0913_CDISAB,T0913_ADISAB,T0913_SDISAB,T0913_IDISAB,area
Year,SRA Name,SRA Num,Region Num,Region Name,T0913_TOTPOP,T0913_MALE,T0913_FEMALE,T0913_WHITE,T0913_BLACK,T0913_ASIAN,T0913_INDIA,T0913_BANG,T0913_CAMB,T0913_CHINA,T0913_FILIP,T0913_HMONG,T0913_INDON,T0913_JAPAN,T0913_KOREA,T0913_LAOT,T0913_MALAY,T0913_PAKIS,T0913_SRI,T0913_TAIWA,T0913_THAI,T0913_VIET,T0913_OASIAN,T0913_HISP,T0913_MEX,T0913_PUERT,T0913_CUBA,T0913_DOMIN,T0913_CAMER,T0913_COSTA,T0913_GUAT,T0913_HOND,T0913_NICA,T0913_PANA,T0913_SALVA,T0913_OCAMER,T0913_SAMER,T0913_ARGEN,T0913_BOLIV,T0913_CHILE,T0913_COLO,T0913_ECUA,T0913_PARA,T0913_PERU,T0913_URAG,T0913_VENEZ,T0913_OSAMER,T0913_OHISP,T0913_AGE5,T0913_LANE,T0913_LANS,T0913_LANSW,T0913_LANSN,T0913_LANA,T0913_LANAW,T0913_LANAN,T0913_LANO,T0913_LANOW,T0913_LANON,T0913_AGE4,T0913_AGE14,T0913_AGE24,T0913_AGE44,T0913_AGE64,T0913_AGE65,T0913_AGE25,T0913_NHS,T0913_SHS,T0913_HSD,T0913_SC,T0913_AD,T0913_BA,T0913_MA,T0913_INCOM,T0913_ASSIT,T0913_HOUSK,T0913_PROF,T0913_ARM,T0913_MARR,T0913_FHH,T0913_OWN,T0913_HOUSE,T0913_MOVE,T0913_CIV,T0913_POVP,T0913_POV,T0913_FORB,T0913_INSUR,T0913_NINSUR,T0913_DISAB,T0913_VDISAB,T0913_HDISAB,T0913_CDISAB,T0913_ADISAB,T0913_SDISAB,T0913_IDISAB,area
2013,Central San Diego,1,,,166284,80974,64967,82519,11133,8535,322,0,156,1806,3015,27,8,663,940,200,0,23,0,208,221,666,514,58577,51716,1240,262,33,1751,429,290,222,107,208,481,14,1815,245,62,365,461,69,8,459,0,64,82,3520,159077,103071,44119,31627,12492,4645,3636,1009,1535,1337,198,7207,11601,23416,70895,36402,16763,52554.71795,124060,8565,9491,18220,26180,9172,32680,13317,1623,22927,41454,9804,47525,6147,74600,20909,51794,8525,118058,20374,37171,116016,37089,15227,2690,3615,6866,8384,3659,6171,65.39
2013,Peninsula,2,,,62482,29008,24623,45947,2105,2311,197,0,14,470,709,2,15,328,233,15,0,0,0,37,67,112,145,10061,8122,589,98,44,452,58,86,9,16,31,252,0,413,23,9,73,63,132,0,75,0,38,0,686,58884,50502,4846,4340,506,1319,1185,134,153,153,0,3598,4772,13044,19243,14569,7256,70548.64286,41068,973,845,6008,10308,2976,12227,5043,320,9892,14826,6099,21782,1939,24876,10197,18742,2562,40255,3285,5442,48726,7371,4808,820,1467,1728,2548,1147,1753,38.02
2013,Coronado,3,,,22710,10143,8921,17288,757,635,130,0,0,30,325,0,0,44,67,0,0,0,28,0,0,16,0,3379,2296,376,10,13,134,0,67,0,0,21,46,0,229,47,0,108,15,0,0,47,0,12,0,642,21746,18212,2658,2436,222,329,325,4,30,30,0,964,2480,3599,5915,5832,3920,95781.875,15667,66,195,1789,3132,1366,4763,2784,94,4202,4777,4372,10823,682,8393,4049,6472,475,14025,747,2371,16989,1188,1776,257,882,520,917,426,546,43.08
2013,National City,4,,,58674,23295,22553,5670,2436,10203,91,0,131,208,9207,0,0,133,46,87,0,0,0,23,7,220,161,39087,37555,235,91,24,705,21,221,161,57,67,171,7,197,27,77,18,36,0,0,39,0,0,0,560,54632,14611,31062,23171,7891,8629,7357,1272,100,90,10,4042,7952,11310,16321,12818,6231,39159.15385,35370,6300,5702,9573,8190,2427,3486,627,854,14714,3577,3612,21745,3326,15259,4976,12334,3210,33399,6874,24567,37347,17303,4978,1103,1440,1600,2874,1382,2300,24.03
2013,Southeastern San Diego,5,,,162311,59379,62529,15935,25834,31258,139,0,594,444,25587,119,13,424,137,2179,0,10,0,4,82,1427,657,82825,78349,1098,185,22,1498,20,589,422,173,74,220,0,538,179,66,22,36,83,0,99,0,53,0,2270,149257,58521,63692,46413,17279,24174,20572,3602,1703,1384,319,13054,24968,28273,44153,35792,16071,51208.14706,96016,15171,13775,23603,23483,7529,11477,2115,2226,45502,14342,1832,58702,9186,42415,24193,34548,10077,95831,15859,56919,120181,40041,14284,2597,2889,5984,7801,3309,6329,50.65
2013,Mid-City,6,,,165266,64657,65075,48057,21114,23619,288,0,2388,2664,2432,232,37,388,693,1050,0,11,62,85,380,11888,1417,67472,60887,824,525,9,2909,80,1183,713,157,155,621,0,912,41,93,197,245,98,0,196,0,42,0,2812,152761,74206,50144,38333,11811,19324,11878,7446,6235,5379,856,12505,20854,34657,50025,33479,13746,45204.82353,97250,15633,10409,21635,21274,7795,15011,5900,2934,40204,20351,1420,48985,9584,55974,19131,40499,9912,96934,17780,51103,124871,38675,16319,3420,4253,6436,8517,3377,6049,42.15
2013,Kearny Mesa,10,,,157414,67265,65290,86989,6915,22303,1602,220,114,2939,6066,365,52,1317,1217,789,28,80,16,131,283,6301,1124,33580,27268,982,588,184,1096,50,377,59,142,97,371,0,1599,412,0,108,410,97,0,397,24,118,33,3726,148726,105530,21297,17182,4115,14469,10803,3666,2025,1829,196,8688,14689,25255,50813,38048,19921,67145.22581,108782,6019,6188,20551,27052,9048,26577,9097,1085,28053,34142,3424,56400,6323,60709,30931,46654,8005,108129,11187,32027,128276,24663,14539,2274,4317,5171,7752,3297,5832,85.94
2013,Coastal,11,,,72051,32823,31880,60727,536,2717,305,0,0,829,570,0,30,204,347,19,0,15,0,37,65,166,153,6376,4864,393,98,0,148,23,8,0,0,9,108,0,389,83,11,76,145,25,0,49,0,0,0,968,69504,59683,3979,3599,380,1539,1446,93,444,393,51,2547,4305,10731,26634,15747,12087,88415.04762,54468,578,519,4849,8677,3059,21386,8278,293,8454,23744,941,25989,1434,34568,14864,25624,3471,54238,3967,9422,63430,7446,4699,724,1710,1680,1985,925,1933,64.88
2013,University,12,,,59377,26842,26034,31481,1093,17970,3477,0,38,6544,1450,12,15,1667,1969,21,0,36,0,538,36,1686,545,6443,4635,224,159,0,324,24,161,9,0,11,119,0,592,174,13,24,181,44,0,123,0,33,0,1018,56433,34826,4114,3973,141,10394,9348,1046,692,566,126,2944,3201,17102,20293,9358,6479,68803.69231,36130,315,630,2336,5018,1960,11992,7554,204,7168,20287,268,19735,1425,24517,7699,16628,2309,35963,3267,18560,53778,5197,3394,440,943,1047,1711,816,1422,32.68
